# engineering_entries.tsv — 工学・情報系専門用語 (M5選別出力 + batch2〜12追加)
# 出典: SudachiDict sudachidict-raw v1/20260723 (Apache-2.0): core_lex/small_lex/notcore_lex を
#   名詞/普通名詞に限定し工学モーフィム(回路/素子/軸受/〜反応/〜酸化/〜制御 等)で広域抽出 (batch11)
#   + NEologd mecab-user-dict-seed.20200910 (Apache-2.0): 名詞を工学モーフィムで広域抽出 (batch12)
#   + Mozc OSS dictionary (BSD-3-Clauseほか; 読みの裏付けのみ) + Wikidata P1814 (CC0)
#   + IPAシラバス用語集 (見出しのみ) + ユーザー指定読み (DynamoDBほか)
# 選別: supplemental抜き base converter (presire/AzooKeyKanaKanjiConverter hazkey 0ad0617,
#   同梱 azooKey_dictionary_storage), N_best=30, typoCorrectionMode=.disabled, learningType=.nothing,
#   specialCandidateProviders=[], zenzaiMode=.off, 補正なし単回変換。Evaluate準拠 exact-length フィルタ
#   (連結ruby==照会カタカナ) の上で正表層がN-bestのどこにも出ないものだけ収録(MISS)。出れば非収録(HIT)。
# 形式: reading(カタカナ)<TAB>surface<TAB>pos (pos: proper=1288固有名詞 / org=1292固有名詞組織 / general=1285一般名詞)
# lcid=rcid=選択CID, MID=一般501, score=-15.5 (DicdataStore.threshold -17 を下回らない)
# 制約: 全件カタカナのみ・全文字charID.chid収録・読み長<=20・(reading,surface)重複なし
# 除外記録 (2026-09-25): 全件見直しで工学・情報系の専門用語/名称に当たらない12件を除外
#   (レジャー施設・番組・映画等の娯楽9、人名2、記念日1)。FET の読み「フェット」を1件追加。870件 → 859件
アイオーシーコンテナ	IoCコンテナ	general
アイピーマスカレード	IPマスカレード	general
アウヴェルスゴウセイ	アウヴェルス合成	general
アスタチンカスイソ	アスタチン化水素	general
アセトサクサンエステルゴウセイ	アセト酢酸エステル合成	general
アラミドセンイ	アラミド繊維	general
アルドールハンノウ	アルドール反応	general
アルミノケイサンエン	アルミノケイ酸塩	general
アルミノケイサンガラス	アルミノケイ酸ガラス	general
アンモニアタイチッソ	アンモニア態窒素	general
アークロ	アーク炉	general
イソウサキュウデンアンテナ	位相差給電アンテナ	general
イソウドウキカイロ	位相同期回路	general
イソウヘンイヘンチョウ	位相偏移変調	general
イタガネタツキ	板金立樹	general
イッサンカニスイソ	一酸化二水素	general
イヌピロプラズマショウ	犬ピロプラズマ症	general
イヨウセッチ	医用接地	general
イーマーケットプレイス	eマーケットプレイス	general
ウィッティヒハンノウ	ウィッティヒ反応	general
ウォルフキッシュナーカンゲン	ウォルフキッシュナー還元	general
ウォールチーグラーハンノウ	ウォールチーグラー反応	general
ウチハナシコンクリート	打放しコンクリート	general
ウマピロプラズマショウ	馬ピロプラズマ症	general
ウラキバン	裏基板	general
ウラツジトソウ	浦辻塗装	general
ウルツフィッティッヒハンノウ	ウルツフィッティッヒ反応	general
ウーツコウ	ウーツ鋼	general
エイチアイディーランプ	HIDランプ	general
エガミトソウ	えがみ塗装	general
エコトリョウ	エコ塗料	general
エックスシリーズ	Xシリーズ	general
エドマンブンカイ	エドマン分解	general
エヌエイチケーオンデマンド	NHKオンデマンド	general
エムデブンカイ	エムデ分解	general
エンカチオニルリチウムデンチ	塩化チオニルリチウム電池	general
エンスイコロジクウケ	円すいころ軸受	general
エンプラスハンドウタイキキ	エンプラス半導体機器	general
エヴァンスサクセナカンゲン	エヴァンスサクセナ還元	general
エービーシーブンセキ	ABC分析	general
オイゲンチュウゾウ	及源鋳造	general
オオイコンテナフトウ	大井コンテナふ頭	general
オオサワトソウ	大澤塗装	general
オガタトソウ	緒方塗装	general
オクヅカトソウ	オクヅカ塗装	general
オシロメトリックホウ	オシロメトリック法	general
オペアンプ	OPアンプ	general
オリカエシダイポールアンテナ	折返しダイポールアンテナ	general
オンプウテイアツトソウキ	温風低圧塗装機	general
オーエスピー	OSP	general
カイカンジュウゴウ	開環重合	general
カイカンメタセシスジュウゴウ	開環メタセシス重合	general
カイコウゴウセイ	開口合成	general
カイジチョッパ	界磁チョッパ	general
カイジテンカレイジセイギョ	界磁添加励磁制御	general
カイジョウジュウゴウ	塊状重合	general
カイセツジマ	回折縞	general
カイソウプロトコル	下位層プロトコル	general
カイテンカクセンサ	回転角センサ	general
カイニジョウケンテイ	カイ二乗検定	general
カイニジョウブンプ	カイ二乗分布	general
カイニュウカ	解乳化	general
カイループセイギョ	開ループ制御	general
カエジシキアンゴウ	換字式暗号	general
カガクキソウセイチョウ	化学気相成長	general
カクサンショウメイ	拡散照明	general
カクハサイハンノウ	核破砕反応	general
カコウシキコウゾウ	架構式構造	general
カサイマイゾウリョウ	可採埋蔵量	general
カシュートリョウ	カシュー塗料	general
カソウトシ	仮想都市	general
カソウハブ	仮想ハブ	general
カソウヒョウカホウ	仮想評価法	general
カツハラトソウ	勝原塗装	general
カヌマシクレーンシャボウソウジコ	鹿沼市クレーン車暴走事故	general
カルコゲンカスイソ	カルコゲン化水素	general
カンカフカハンノウ	環化付加反応	general
カンキュウオンドケイ	乾球温度計	general
カンデンリュウ	環電流	general
カンホンシキタービン	艦本式タービン	general
ガッターマンハンノウ	ガッターマン反応	general
ガルバニデンチ	ガルバニ電池	general
ガルバーニデンリュウ	ガルバーニ電流	general
キカンケイシステム	基幹系システム	general
キグウテンチソート	奇偶転置ソート	general
キセイグイ	既製杭	general
キミヅカテッキン	君塚鉄筋	general
キュウカクアシルチカンハンノウ	求核アシル置換反応	general
キュウカクキョウヤクフカハンノウ	求核共役付加反応	general
キュウカクチカンハンノウ	求核置換反応	general
キュウカクフカハンノウ	求核付加反応	general
キュウキアツリョクケイ	吸気圧力計	general
キュウコンアルゴリズム	求根アルゴリズム	general
キュウスイセイポリマー	吸収性ポリマー	general
キュウチャクトウオンセン	吸着等温線	general
キュウデンシフカハンノウ	求電子付加反応	general
キリョクハツデン	汽力発電	general
キレトロピーハンノウ	キレトロピー反応	general
キンメッキ	金めっき	general
ギャクソウ	逆相	general
ギャクポーランドキホウ	逆ポーランド記法	general
ギャクマルチプレクサ	逆マルチプレクサ	general
ギョウシュクケイカクハンノウ	凝縮系核反応	general
ギンキョウハンノウ	銀鏡反応	general
ギンザシネスイッチ	銀座シネスイッチ	general
クイキソ	杭基礎	general
クウアツセイギョギジュツ	空圧制御技術	general
クウリキブレーキ	空力ブレーキ	general
クルップコウ	クルップ鋼	general
クレメンゼンカンゲン	クレメンゼン還元	general
クロサワダイスケ	黒沢ダイスケ	general
ケイキテイキトリカエ	計器定期取替	general
ケイキヨウヘンセイキ	計器用変成器	general
ケイスウホウデンカン	計数放電管	general
ケイソウシ	計装士	general
ケイソコウ	ケイ素鋼	general
ケイリョウモリド	軽量盛土	general
ケッテイギ	決定木	general
ケンカイメン	圏界面	general
ゲスイドウカンロカンリギシ	下水道管路管理技士	general
ゲンリュウヒューズ	限流ヒューズ	general
コウアツコウリュウフカカイヘイキ	高圧交流負荷開閉器	general
コウオンガンタイチネツハツデン	高温岩体地熱発電	general
コウカイケイキ	航海計器	general
コウカガクオキシダント	光化学オキシダント	general
コウカンクイ	鋼管杭	general
コウキカクテイボウ	高規格堤防	general
コウキュウスイセイコウブンシ	高吸水性高分子	general
コウキュウスイセイジュシ	高吸水性樹脂	general
コウクウケイキ	航空計器	general
コウサイニンショウ	虹彩認証	general
コウシュウハネツレン	高周波熱錬	general
コウセイキゴウ	校正記号	general
コウソクドコウ	高速度鋼	general
コウチョウ	亘長	general
コウチョウリョクコウ	高張力鋼	general
コウテッキン	鋼鉄筋	general
コウデンキカガクチクデンチ	光電気化学蓄電池	general
コウデンチ	光電池	general
コウデンチショウドケイ	光電池照度計	general
コウブンシミセル	高分子ミセル	general
コウマンガンコウ	高マンガン鋼	general
コウワンセンスイギシ	港湾潜水技士	general
コガトソウサンギョウ	古賀塗装産業	general
コタイコウブンシガタネンリョウデンチ	固体高分子形燃料電池	general
コプレーナドウハロ	コプレーナ導波路	general
コベツハツデン	戸別発電	general
コレスキーブンカイ	コレスキー分解	general
コロラドスプリングス	コロラド・スプリングス	general
コンクリートギシ	コンクリート技士	general
コンテナニヒョウ	コンテナ荷票	general
コンビナトリアルセイゴウセイ	コンビナトリアル生合成	general
コーリーバクシシバタカンゲン	コーリーバクシ柴田還元	general
ゴウキンコウグコウ	合金工具鋼	general
ゴウセイクモイトセンイ	合成クモ糸繊維	general
ゴキョクカン	五極管	general
ゴダイハンヨウジュシ	五大汎用樹脂	general
サイキセイハンシャザイ	再帰性反射材	general
サイキハンシャ	再帰反射	general
サイトウトソウコウゲイ	斎藤塗装工芸	general
サイドリル	賽ドリル	general
サカイデソウデントウトウカイジケン	坂出送電塔倒壊事件	general
サカイバンキン	酒井板金	general
サトウテッキンコウギョウ	佐藤鉄筋興業	general
サノトソウ	佐野塗装	general
サバティエハンノウ	サバティエ反応	general
サボウキュウケイシャカンリギジュツシャ	砂防急傾斜管理技術者	general
サラバネ	皿ばね	general
サワネスプリング	沢根スプリング	general
サンカインジウムサン	酸化インジウム	general
サンカウランゴ	酸化ウラン	general
サンカエルビウム	酸化エルビウム	general
サンカオスミウムハチ	酸化オスミウム	general
サンカギンデンチ	酸化銀電池	general
サンカスズニ	酸化スズ	general
サンカテクネチウムナナ	酸化テクネチウム	general
サンカテルビウム	酸化テルビウム	general
サンカトリウムヨン	酸化トリウム	general
サンカトリブチルスズ	酸化トリブチルスズ	general
サンカニッケルサン	酸化ニッケル	general
サンカハッコウ	酸化発酵	general
サンカバナジウムニ	酸化バナジウム	general
サンカモリブデンロク	酸化モリブデン	general
サンカヨウソ	酸化ヨウ素	general
サンカランタン	酸化ランタン	general
サンカレニウムナナ	酸化レニウム	general
サンキョクカン	三極管	general
サンソウニュウカ	三相乳化	general
サンタンシレギュレータ	三端子レギュレータ	general
サンワトソウ	三和塗装	general
ザンドマイヤーハンノウ	ザンドマイヤー反応	general
シキソゾウカンタイヨウデンチ	色素増感太陽電池	general
シサソウサネツリョウソクテイ	示差走査熱量測定	general
シシツカサンカハンノウ	脂質過酸化反応	general
シスイバン	止水板	general
シツキュウオンドケイ	湿球温度計	general
シメカタメヨウキカイ	締固め用機械	general
シュウカスイソ	臭化水素	general
シュウケイゴガン	修景護岸	general
シュウコウガタタイヨウコウハツデン	集光型太陽光発電	general
シュウコウガタタイヨウネツハツデン	集光型太陽熱発電	general
シュウジンキ	集塵機	general
シュウジンソウチ	集塵装置	general
シュウソクデンシカイセツ	収束電子回折	general
シュウハスウシンセサイザ	周波数シンセサイザ	general
シュウハスウヘンカンジョ	周波数変換所	general
